status,longitude,latitude,house_type,beds,baths,full_baths,price_reduced,new_construction,foreclosure,plans,new_listing,is_coming_soon,is_contingent,is_pending,price_reduced_amount,days_since_last_sold,days_since_list_date,last_sold_prices,list_prices
0,-121.950494,37.781686,condos,2,2,2,0,0,0,0,1,0,0,0,,177,0,825000,795000
0,-121.946606,37.786027,townhomes,3,3,3,0,0,0,0,1,0,0,0,,183,0,1460000,1280000
0,-121.937936,37.768406,single_family,4,3,2,1,0,0,0,1,0,0,0,99000,34,0,1780000,1800000
0,-121.888281,37.746832,single_family,5,5,4,0,0,0,0,1,0,0,0,,72,0,2625000,2699000
0,-121.887082,37.760875,single_family,5,5,4,0,0,0,0,1,0,0,0,,246,0,2490000,2200000
0,-121.922038,37.784349,single_family,4,3,3,1,0,0,0,1,0,0,0,150050,33,0,2000000,1999950
0,-121.936471,37.754989,single_family,4,3,2,1,0,0,0,1,0,0,0,251000,48,0,1750000,1899000
0,-121.952388,37.785653,condos,2,2,2,0,0,0,0,1,0,0,0,,34,0,750000,775000
0,-121.915845,37.741148,single_family,4,3,3,0,0,0,0,1,0,0,0,,57,0,1800000,1998000
0,-121.913138,37.757671,single_family,3,3,2,1,0,0,0,1,0,0,0,50000,28,0,1360000,1349950
0,-121.925773,37.784347,townhomes,4,3,2,1,0,0,0,1,0,0,1,90000,10453,0,249000,1225000
0,-121.91789,37.778454,single_family,4,3,3,1,0,0,0,1,0,0,0,149000,40,0,1950000,2050000
0,-121.889199,37.746052,single_family,5,5,4,0,0,0,0,1,0,0,0,,36,0,2768000,2768000
0,-121.945837,37.787155,condos,3,2,2,0,0,0,0,1,0,0,0,,75,0,860000,820000
0,-121.945693,37.786734,townhomes,3,3,2,1,0,0,0,1,0,0,0,90000,19,0,1165000,1189000
0,-121.927126,37.766872,single_family,5,6,5,1,0,0,0,1,0,0,0,198801,16,0,3900000,3999999
0,-121.922227,37.784225,single_family,4,3,3,1,0,0,0,1,0,0,0,182000,28,0,2250000,2398000
0,-121.946341,37.768197,condos,2,2,2,1,0,0,0,1,0,0,0,25000,54,0,695000,725000
0,-121.907721,37.767351,townhomes,3,3,3,0,0,0,0,1,0,0,0,,194,0,1210000,959000
0,-121.917691,37.75555,single_family,4,4,3,0,0,0,0,1,0,0,0,,69,0,2300000,2395000
0,-121.912605,37.731159,single_family,3,2,2,1,0,0,0,1,0,0,0,114000,8,0,1320000,1385000
0,-121.915443,37.736004,single_family,5,4,3,0,0,0,0,1,0,0,0,,75,0,2006250,2098800
